                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.4424,                 7.4743,                0.47567,                0.33861,                 1.1636,                0.92212,                0.94118,                0.98122,                0.77345,                      0,                      0,                      0,                      0,                0.90453,                 10.283,                0.39606,                0.81271,                 1.3913,              0.0019089,              0.0019089,              0.0019089
                     25,                0.39587,                 7.6409,                0.44651,                0.33866,                 1.1479,                0.89863,                0.70588,                0.89163,                0.68459,                      0,                      0,                      0,                      0,                 0.9624,                  9.853,                0.43267,                 1.0378,                 1.5657,               0.001905,               0.001905,               0.001905
                     26,                0.41081,                 7.2907,                0.44467,                0.34132,                 1.1487,                0.69907,                0.52941,                0.43312,                0.35409,                      0,                      0,                      0,                      0,                 1.2053,                 10.291,                 0.5205,                 1.4394,                 2.0055,               0.001901,               0.001901,               0.001901
                     27,                0.38445,                 7.3136,                0.43127,                0.32085,                  1.126,                0.99632,                0.97059,                0.99338,                0.90571,                      0,                      0,                      0,                      0,                0.59519,                  9.766,                0.36272,                0.46043,                 0.9652,               0.001897,               0.001897,               0.001897
                     28,                0.36908,                 6.7385,                 0.3923,                0.31648,                 1.1031,                0.99676,                      1,                  0.995,                0.92547,                0.07137,                0.05882,                0.03566,                0.00572,                0.54868,                 9.2847,                0.33555,                0.53201,                0.89153,              0.0018931,              0.0018931,              0.0018931
                     29,                0.35493,                 6.4466,                0.36995,                0.29882,                 1.0982,                      1,                0.99539,                  0.995,                0.84762,                0.06601,                0.05882,                 0.0139,                0.00304,                0.64695,                 9.2202,                0.27736,                0.58867,                  1.048,              0.0018891,              0.0018891,              0.0018891
                     30,                0.36426,                  6.756,                0.35087,                0.32459,                 1.0902,                      1,                0.99636,                  0.995,                0.92594,                0.22811,                0.23529,                0.09248,                0.01743,                0.47759,                 7.5285,                0.26379,                0.47876,                0.80779,              0.0018852,              0.0018852,              0.0018852
                     31,                0.36859,                 6.5817,                0.34079,                0.31367,                 1.1165,                0.99612,                      1,                  0.995,                0.95712,                0.03066,                0.02941,                0.01384,                0.00351,                0.46709,                 10.701,                 0.2637,                0.35952,                0.79344,              0.0018812,              0.0018812,              0.0018812
                     32,                0.35104,                 6.3877,                0.32621,                0.29804,                 1.0971,                0.99843,                      1,                  0.995,                0.93062,                0.04892,                0.05882,                0.02285,                0.00289,                0.57438,                  9.559,                0.25423,                0.51552,                0.93716,              0.0018772,              0.0018772,              0.0018772
                     33,                0.35451,                 5.7655,                0.30857,                0.28479,                 1.0807,                0.97134,                0.99693,                0.99443,                0.85746,                0.20863,                0.20588,                0.07253,                0.01754,                0.61917,                 7.8219,                0.31904,                0.40201,                 1.0135,              0.0018733,              0.0018733,              0.0018733
                     34,                0.36567,                 6.0602,                0.29672,                0.29096,                 1.1095,                0.99768,                      1,                  0.995,                0.92279,                0.18684,                0.17647,                0.07813,                0.01421,                0.50533,                 8.2337,                0.25664,                0.29298,                0.82416,              0.0018693,              0.0018693,              0.0018693
                     35,                0.34087,                 5.7005,                0.29185,                0.29137,                  1.122,                0.99813,                      1,                  0.995,                0.92091,                0.06234,                0.05882,                0.02319,                0.00544,                0.42967,                 8.5021,                0.22917,                0.25461,                0.80738,              0.0018654,              0.0018654,              0.0018654
                     36,                0.37612,                 6.4505,                0.28187,                0.31196,                 1.1151,                0.98784,                      1,                  0.995,                0.93603,                 0.4019,                0.38235,                0.30035,                0.04718,                0.55172,                 7.5422,                0.25848,                 0.3642,                0.90836,              0.0018614,              0.0018614,              0.0018614
                     37,                0.35449,                 6.1107,                0.27393,                0.28817,                 1.0818,                0.99466,                      1,                  0.995,                0.89411,                0.40664,                0.41176,                0.21023,                0.03744,                0.56216,                 7.5987,                0.19576,                0.39184,                0.91019,              0.0018574,              0.0018574,              0.0018574
                     38,                0.35097,                 6.3256,                 0.2775,                0.29225,                 1.0888,                 0.9929,                0.97059,                0.99119,                0.92998,                 0.3391,                0.32353,                0.21656,                0.04446,                0.52212,                 7.3438,                0.20734,                0.44332,                0.85554,              0.0018535,              0.0018535,              0.0018535
                     39,                 0.3307,                 5.9164,                0.25668,                0.27583,                  1.081,                0.99707,                      1,                  0.995,                0.92496,                0.29404,                0.29412,                0.14979,                0.02876,                  0.536,                 6.5566,                0.17909,                0.33582,                0.85606,              0.0018495,              0.0018495,              0.0018495
                     40,                0.32445,                 5.1017,                0.23501,                0.26412,                 1.0614,                0.99276,                      1,                  0.995,                0.94835,                0.38589,                0.38235,                0.28852,                0.06459,                0.45499,                 5.7357,                0.25693,                0.33136,                0.77893,              0.0018456,              0.0018456,              0.0018456
                     41,                0.32673,                 5.4304,                0.23925,                0.26177,                  1.091,                0.99813,                      1,                  0.995,                0.93531,                0.35278,                0.35294,                0.23034,                 0.0517,                0.48244,                 5.5798,                0.19848,                0.29087,                0.80557,              0.0018416,              0.0018416,              0.0018416
                     42,                0.32006,                 5.1198,                0.22846,                0.26939,                 1.0674,                 0.9975,                      1,                  0.995,                0.94164,                0.16905,                0.11765,                0.05233,                0.00874,                0.45099,                  6.484,                 0.1858,                0.30036,                 0.7714,              0.0018376,              0.0018376,              0.0018376
                     43,                0.31493,                 4.9741,                0.21959,                0.26014,                 1.0514,                0.99795,                      1,                  0.995,                 0.9475,                 0.0882,                0.08824,                0.03651,                0.00515,                0.41401,                 6.7826,                0.17054,                0.29346,                0.71515,              0.0018337,              0.0018337,              0.0018337
