                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90231,                0.40235,                 0.8294,                0.62422,                0.57616,                0.52394,                0.31642,                 1.3074,                 1.3642,                 0.8882,               0.006535,               0.006535,               0.006535
                     37,                0.89532,                0.40033,                0.82841,                0.62457,                0.57566,                0.52418,                0.31664,                 1.3078,                 1.3634,                0.88835,               0.006436,               0.006436,               0.006436
                     38,                0.88841,                0.39651,                0.82776,                0.62369,                0.57593,                0.52458,                0.31678,                 1.3086,                 1.3627,                0.88853,               0.006337,               0.006337,               0.006337
                     39,                0.88291,                0.39392,                0.82731,                 0.6227,                0.57585,                0.52477,                0.31691,                 1.3094,                 1.3628,                0.88881,               0.006238,               0.006238,               0.006238
                     40,                 0.8774,                0.39222,                0.82617,                0.62113,                0.57645,                0.52501,                0.31675,                 1.3106,                 1.3625,                0.88913,               0.006139,               0.006139,               0.006139
                     41,                0.87225,                0.38916,                0.82544,                0.62064,                 0.5761,                0.52486,                0.31659,                  1.311,                 1.3605,                0.88936,                0.00604,                0.00604,                0.00604
                     42,                0.86657,                0.38788,                0.82489,                0.61966,                0.57597,                0.52434,                0.31627,                 1.3117,                 1.3611,                0.88958,               0.005941,               0.005941,               0.005941
                     43,                0.86067,                0.38503,                0.82401,                0.61958,                0.57613,                0.52442,                0.31596,                  1.313,                 1.3608,                0.88991,               0.005842,               0.005842,               0.005842
                     44,                0.85641,                0.38313,                0.82322,                0.61847,                0.57659,                0.52404,                0.31556,                 1.3145,                 1.3597,                0.89023,               0.005743,               0.005743,               0.005743
                     45,                 0.8509,                0.38135,                0.82279,                0.61791,                 0.5772,                0.52417,                0.31553,                 1.3161,                 1.3587,                 0.8906,               0.005644,               0.005644,               0.005644
                     46,                0.84487,                0.37898,                0.82188,                0.61716,                0.57725,                0.52421,                0.31545,                 1.3181,                 1.3585,                0.89104,               0.005545,               0.005545,               0.005545
                     47,                0.83977,                0.37704,                0.82128,                0.61706,                 0.5774,                0.52461,                0.31552,                 1.3202,                 1.3578,                0.89157,               0.005446,               0.005446,               0.005446
                     48,                0.83577,                0.37548,                0.82061,                0.61627,                0.57806,                0.52462,                0.31538,                  1.322,                 1.3581,                0.89197,               0.005347,               0.005347,               0.005347
                     49,                0.83043,                0.37329,                0.82028,                 0.6154,                0.57854,                 0.5247,                0.31529,                 1.3236,                 1.3595,                0.89233,               0.005248,               0.005248,               0.005248
